,Unnamed: 0,avalanche_obs,comment,documents,group_activity,id,location,location_coords,location_coords_type,location_desc,location_elevation,location_province,num_fatal,num_injured,num_involved,ob_date,snowpack_comment,snowpack_obs,weather_comment,weather_obs,alt_coord
0,0,"[{'size': '2.0', 'type': 'S', 'trigger': 'Sa', 'aspect': 'NE', 'elevation': 2400, 'slab_width': 80, 'slab_thickness': 50}]","A ski-tourer and split boarder triggered a persistent slab avalanche while ascending above Pharaoh Lake. Both were caught and partially buried. One person was able to extricate themselves and their partner, then obtained assistance from another party who were able to summon assistance via personal location devices. A Parks Canada Visitor Safety team evacuated the injured person who later succumbed to injuries in hospital.",[],Ski touring,37d909e4-c6de-43f1-8416-57a34cd48255,Pharaoh Lake,"[51.114536, -115.914762]",Lat/lng,"Approximately 25km WSW of Banff, AB",2400.0,AB,1,0.0,2.0,2019-03-16,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",Nearest weather station temperature was about -4 at time of incident.,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}","[-115.9105556, 51.1144444]"
1,1,"[{'size': '2.5', 'type': 'S', 'trigger': 'Na', 'aspect': 'N', 'elevation': 3100, 'slab_width': 50, 'slab_thickness': 35}]",A naturally triggered wind slab released from a steep alpine feature above the Massey's waterfall on Mount Stephen near Field. The slide entrained loose faceted snow at and below treeline then ran over the waterfall and struck a group of ice climbers who were at the base of waterfall. The group carried out a self-rescue. One injured person was evacuated by a Parks Canada Visitor Safety team and subsequently passed away in hospital.,[],Ice Climbing,53263a93-e674-4eda-999d-01e05fcf64ef,Massey's Waterfall,"[51.404092, -116.466891]",Lat/lng,Approximately 2km NE of Field BC,3100.0,BC,1,0.0,3.0,2019-03-11,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}","[None, None]"
2,2,"[{'size': '2.5', 'type': 'S', 'trigger': 'Sa', 'aspect': 'NW', 'elevation': 1325, 'slab_width': 150, 'slab_thickness': 60}]","A group of two snowshoers were winter camping in the vicinity of Mount Seymour. In the morning of the incident, they left their tent erected and headed towards Runner Peak. While moving in steep terrain near the summit of Runner Peak, the group triggered a size 2.5 slab avalanche that caught both party members. One person became entangled in trees on very steep terrain and was rescued by helicopter long-line. The second person was found two days later buried under a little over 1 m of snow by probing.

Rescuers noted an unstable layer of snow buried approximately 70 cm below the surface comprising facetted snow overlying a crust. Snowpack tests confirmed this failure plane was highly reactive to human-triggering.

The travelers were equipped with snowshoes and ice axe but did not carry avalanche rescue gear.","[{'date': '2019-02-20', 'title': 'Start zone showing location of survivor', 'source': 'Metro Vancouver', 'url': '/public/document/5cdf59c2-8d97-4234-b8d4-4980f1cef74a/2019/2/18/b3e31dcb-77d2-42b3-8115-e88a16b2f946/Start_zone_and_fracture_line_with_location_of_survivor.png'}, {'date': '2019-02-20', 'title': 'Avalanche Path with location of victim', 'source': 'Metro Vancouver', 'url': '/public/document/f17ed07b-f8a5-4da4-86a3-37000d76970e/2019/2/18/b3e31dcb-77d2-42b3-8115-e88a16b2f946/Avalanche_path_with_location_of_victim.png'}]",Snowshoeing,b3e31dcb-77d2-42b3-8115-e88a16b2f946,Runner Peak,"[49.3937, -122.9434]",Lat/lng,Approximately 3 km north of the Seymour Ski area parking lot,1325.0,BC,1,1.0,2.0,2019-02-18,"Average HS at 1200-1300 m is 300-350 cm. This is near average for this time of year in the area. The first half of the season was very warm and relatively wet. Cold drier weather kicked in at the beginning of Feb and it’s been 3 weeks of unusual weather conditions in the area.

Persistent slab problem found, which is very atypical for the North Shore.

A large whump was felt by rescuers near the summit of runner peak on the first day of the rescue. 
Snowpack summary: 8 cm F HN on 60 cm 4F-1F+ slab (DF), on 15-20 cm FCxr, on Feb 3 Crust. Several thin sun crusts present in top 50-70 cm on solar aspects. 

Snowpack test results: Tests performed Feb. 20: NW aspect at 1250 m. ECT 23 SP down 67 cm on FCxr. PST 25 END down 67 cm. See video links: https://www.dropbox.com/s/ye4srwlhi0h5y54/IMG_0133.MOV?dl=0 and  https://www.dropbox.com/s/8dfl5wbu5fdgyq1/SnowTest-ECT.mov?dl=0","{'hs': 325, 'hn24': None, 'hst': 40, 'hst_reset': '2019-02-14'}","Observations are based on Mt Seymour resort's patrol observations. 

Temperatures were -2 to -5C during the previous storm event (Feb 14-16). Temps warmed to near 0C the day before the accident with clear skies (Feb 17). Clouds rolled in early on the morning of the accident and temperatures cooled.","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': 'L', 'wind_dir': None, 'sky': 'OVC', 'precip': 'NIL'}","[-122.9408333, 49.3963889]"
3,3,"[{'size': '2.0', 'type': 'S', 'trigger': 'Ma', 'aspect': 'S', 'elevation': 2120, 'slab_width': 40, 'slab_thickness': 50}]","A group of four snowmobilers were on or near the south facing slopes above Oventop Creek in the Northern Monashee Mountains. Upon noticing that one member was separated from the group, the rest initiated a search. The missing group member was caught in a size 2 wind slab avalanche 40 m wide that ran 150-200 m. The avalanche failed at the upper end of treeline at the elevation of 2120 m and ran down into a band of trees. The deceased was found by companions under 1 m of snow, against a tree.",[],Snowmobiling,2a3afb33-ff26-48ab-b7ca-cfd840d203fa,Oventop Creek,"[52.334951, -118.894301]",Lat/lng,Approximately 25 km northeast of Blue River.,2120.0,BC,1,0.0,1.0,2019-02-09,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}","[-118.939722, 52.328611]"
4,4,"[{'size': '2.0', 'type': 'CS', 'trigger': 'Nc', 'aspect': 'E', 'elevation': None, 'slab_width': None, 'slab_thickness': None}]",A group of three was on a route used to travel between Nain and sea ice at an inlet approximately 4km south of Nain. They were working on a stuck or broken down snowmobile when all three were struck by an avalanche at or near a height of land that has a an east facing slope above. Two remained on the surface. One was buried and could not be found by the survivors. A call for help mobilized a major rescue effort and the deceased was located by probing approximately 2.7m below the surface.,[],Snowmobiling,87affdea-021e-4b13-b7fb-f52fa3b1437a,Nain,"[56.525664, -61.695035]",Lat/lng,"Approximately 1.5km south of Nain, NL",150.0,NL,1,0.0,3.0,2019-01-26,Snowpack in the area of the incident is described as highly variable in depth.,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}","Approximately 25cm of new snow fell the night before the accident, accompanied by strong winds.","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': 'X', 'precip': None}","[-61.718942, 56.536319]"
5,5,"[{'size': '3.0', 'type': 'S', 'trigger': 'Ma', 'aspect': 'SE', 'elevation': 2750, 'slab_width': 300, 'slab_thickness': None}]",A group of snowmobilers were on or near slopes on the south/southeast side of Mount Brewer in the Purcell Mountains. Two were caught in a very large Deep Persistent Slab avalanche 200-400m wide that ran 900-1100m onto a small lake. One deceased with an activated airbag was recovered from a two metre deep burial. A transceiver signal was located on the lake where debris was floating on the water. The second deceased was subsequently recovered from the lake by a dive team.,[],Snowmobiling,9413994e-a20d-4f52-8e84-dfc4ee6217b5,Mount Brewer,"[50.3733, -116.22389]",Lat/lng,Approximately 20km SW of Invermere,2600.0,BC,2,0.0,2.0,2019-01-12,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': 'CLR', 'precip': None}","[-116.233333, 50.380556]"
6,6,"[{'size': '2.0', 'type': 'S', 'trigger': 'Sa', 'aspect': 'NW', 'elevation': 1680, 'slab_width': 50, 'slab_thickness': 25}]",A skier who was part of a group was slightly ahead of other party members and went out of sight over a roll. Rest of group came over the roll and saw a 25cm thick soft slab avalanche had occurred. Deceased was found approximately 50m downslope on the uphill side of a tree island.,[],Skiing,3891fd51-8736-4373-9829-9159b950992b,Pebble Creek,"[50.7211, -123.2444]",Lat/lng,Approximately 32km SW of Gold Bridge,1680.0,BC,1,0.0,1.0,2019-01-03,,"{'hs': None, 'hn24': 40, 'hst': 65, 'hst_reset': None}",L-M SE winds reported in previous 24 hours.,"{'temp_present': -5.0, 'temp_max': None, 'temp_min': None, 'temp_trend': 'S', 'wind_speed': 'L', 'wind_dir': None, 'sky': None, 'precip': 'S3'}","[-122.701667, 58.768333]"
7,7,"[{'size': '3.0', 'type': 'S', 'trigger': 'Sa', 'aspect': 'NE', 'elevation': 2020, 'slab_width': 200, 'slab_thickness': 60}]",While regrouping a remotely triggered size 1 avalanche started which sympathetically triggered a size 2.5 - 3.0. The larger avalanche caught one person who was subsequently buried and did not survive. Several other nearby sympathetic releases were also observed some of which combined with the initial avalanches.,[],Heliskiing,5930994f-0066-4e58-822e-15caf064c12e,South Creek,"[50.483889, -123.281667]",Lat/lng,Approximately 38km NW of Pemberton,2020.0,BC,1,0.0,1.0,2018-03-28,Little wind effect on slope where incident occurred compared to other slopes in the area.,"{'hs': None, 'hn24': 0, 'hst': 10, 'hst_reset': None}",Previous weather M-S SW/SE winds with 10cm of new snow (13mm WE).,"{'temp_present': -5.0, 'temp_max': None, 'temp_min': None, 'temp_trend': 'S', 'wind_speed': 'L', 'wind_dir': None, 'sky': None, 'precip': 'NIL'}","[-126.757222, 53.094444]"
8,8,"[{'size': '2.0', 'type': 'CS', 'trigger': 'Ma', 'aspect': 'N', 'elevation': 2150, 'slab_width': None, 'slab_thickness': None}]","Two individuals were sitting on sleds looking at view. Cornice collapsed causing one to fall approximately 75m to slope below. A size 1.5 - 2.0 avalanche on the slope below was triggered by the cornice fall. The deceased was partially buried, head down to the waist. A second party witnessed the incident and extricated the deceased from the snow but were revival attempts were unsuccessful.",[],Snowmobiling,533be18d-8019-42b1-9811-8509ca14106f,Soo Valley,"[50.257891, -123.287952]",Lat/lng,Apprx 600m NW of summit of Mt Callaghan,2150.0,BC,1,0.0,1.0,2018-02-10,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}","[-122.8830729, 50.2128256]"
9,9,"[{'size': '2.0', 'type': 'S', 'trigger': 'Ma', 'aspect': 'N', 'elevation': 2200, 'slab_width': 50, 'slab_thickness': None}]","Party of two were travelling up a small drainage. One turned into a side drainage and was caught in a size two slab avalanche. Burial depth of approximately three metres suggests a terrain trap was involved, likely a creek or gully feature.",[],Snowmobiling,f1f2bfec-bd7b-4063-b46e-46aa213a8678,Hospital Creek,"[51.381917, -116.878889]",Lat/lng,Approximately 12km NE of Golden,2200.0,BC,1,0.0,1.0,2018-02-09,AST instructor assisting with rescue suspected January 15 surface was failure layer.,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}","[-122.507778, 54.087222]"
